game_id,scene_id,title,source
re,re_01,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_02,Inside The Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_03,The Dining Room,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_04,Mysterious Puddle,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_05,Researcher's Will Event (Note: This scene will only happen if you go,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_06,Draining the Pool CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_07,Muffled Conversation (Note: You must have heard cinema 7a to see,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_08,Reunite With Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_09,Hunter CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_10,Snake Confrontation,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_11,Zombie CGI #2,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_12,Trust Barry?,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_13,Draining the Fountain CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_14,Slideshow,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_15,Tyrant CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_16,Radio Transmission #3,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_17,"Jill Epilogue Picture (Note: To see this, you must have saved",https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_18,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_19,Inside the Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_20,Zombie CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_21,Searching for Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_22,Moonlight Sonata,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_23,Meet Yawn the Giant Snake,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_24,Draining the Pool CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_25,Reunite with Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_26,Hunter CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_27,Yawn's Return,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_28,Zombie CGI #2,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_29,Meet Enrico,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_30,Draining the Fountain CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_31,Slideshow,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_32,Tyrant CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_33,Wesker's Death,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_34,Radio Transmission #3,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_35,Brad's Gift,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_36,Death of a Tyrant,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re2,re2_01,What have we got here?,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_02,Hold you’re fire I’m a human.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_03,Survivors In the Other rooms.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_04,Good too see your still among the living.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_05,Ada Wong,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_06,Who the heck are you?,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_07,It’s a dead end.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_08,I’ll catch up with you.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_09,Get that Scum!,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_10,Reckless and Stupid.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_11,I have to talk to her.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_12,Eat this you freak.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_13,Alligator Attack.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_14,The Sooner the better.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_15,Snap out of it.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_16,We’re leaving this place together.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_17,You’re So Gullible.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_18,"Shut up, you’re gonna make it.",https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_19,This is just the beginning.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_20,I'm finally here.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_21,Don't Come Any Closer.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_22,Good too see your still among the living.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_23,You'll end up just like all the others.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_24,I'm Not a Zombie.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_25,Don't go alone.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_26,I'm on my way.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_27,I'm going down there.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_28,Everyone's Gonna die.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_29,We should be able to find some place safe.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_30,Run!,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_31,Someone tried to kill me.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_32,No one will take that away from me.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_33,Its the truth.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_34,What was that?,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_35,Where is she?,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_36,"Which room, tell me!",https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_37,Sucker.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_38,You have to escape.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_39,Who are you?,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_40,Its finally over.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_41,We've still got a job to do.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_42,I'm finally here.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_43,What's going on in this town?,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_44,We should have listened to them.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_45,I'll go look for her.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_46,You'll end up just like all the others.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_47,I found the girl.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_48,Don't go alone.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_49,I can take care of myself.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_50,I'm glad to see you're safe Claire.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_51,The ultimate bio-weapon.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_52,Are you crazy!,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
re2,re2_53,I'm here.,https://gamefaqs.gamespot.com/ps/198458-resident-evil-2/faqs/32821
